Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
gauss_1,0.000,0.000,0.000,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
gauss_1,grp_back_substitution_fu_318,0.000,0.000,0.000,0.000
gauss_1,grp_sub_gauss_fu_328,0.000,0.000,0.000,0.000
gauss_1,grp_sub_gauss_fu_328/grp_load_bufferA_fu_253,0.000,0.000,0.000,0.000
gauss_1,grp_sub_gauss_fu_328/grp_store_A_fu_264,0.000,0.000,0.000,0.000
gauss_1,grp_sub_gauss_fu_328/grp_compute_A_fu_275,0.000,0.000,0.000,0.000
gauss_1,grp_sub_gauss_fu_328/grp_compute_B_fu_301,0.000,0.000,0.000,0.000
gauss_1,grp_sub_gauss_fu_328/grp_load_bufferB_fu_340,0.000,0.000,0.000,0.000
gauss_1,grp_sub_gauss_fu_328/grp_store_B_fu_364,0.000,0.000,0.000,0.000
gauss_1,grp_sub_gauss_fu_328/grp_load_multipliers_fu_388,0.000,0.000,0.000,0.000
gauss_1,grp_sub_gauss_fu_328/grp_load_norm_line_fu_411,0.000,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
gauss_1,m_axi_gmem,0.000,0.000,0.000,0.000

